industry,Ret,Std,IS
Systems Software,67.14999999999999,46.419999999999995,1.4466666666666665
Diversified Support Services,53.285,40.754999999999995,1.31
Computer & Electronics Retail,49.7,48.35,1.03
Application Software,46.774166666666666,42.7825,1.085
Metal & Glass Containers,46.64,35.04,1.33
Internet & Direct Marketing Retail,45.198,48.798,0.852
Home Improvement Retail,41.445,40.305,1.02
Semiconductors,41.30615384615385,52.08846153846155,0.7592307692307692
Restaurants,40.98333333333334,43.06999999999999,0.9366666666666666
Technology Distributors,40.68,42.86,0.95
Semiconductor Equipment,40.662499999999994,55.30500000000001,0.74
General Merchandise Stores,40.25666666666667,39.30666666666667,1.0933333333333335
Wireless Telecommunication Services,37.62,36.18,1.04
Health Care Equipment,36.917,39.7855,0.9115000000000002
Automotive Retail,36.73,44.28,0.83
Life Sciences Tools & Services,36.71,39.442,0.96
Gold,36.69,40.2,0.91
Electronic Equipment & Instruments,36.61333333333334,47.13333333333333,0.7633333333333333
Railroads,35.809999999999995,40.5725,0.8825000000000001
Water Utilities,35.69,34.16,1.04
Industrial Gases,35.285,34.655,1.02
Movies & Entertainment,35.026666666666664,48.88666666666666,0.7033333333333333
Trucking,34.97,38.36,0.895
Financial Exchanges & Data,34.339999999999996,38.315,0.8737500000000001
Hypermarkets & Super Centers,34.3,28.65,1.205
Personal Products,34.1,33.525,1.025
Agricultural & Farm Machinery,33.53,42.42,0.79
Internet Services & Infrastructure,33.11666666666667,37.71,0.8733333333333334
Interactive Media & Services,32.8775,45.53999999999999,0.6950000000000001
Consumer Electronics,32.7,34.36,0.95
Data Processing & Outsourced Services,32.47909090909092,38.51272727272727,0.8336363636363636
Electrical Components & Equipment,32.4725,47.02,0.6575
Copper,31.73,65.66,0.48
Specialty Stores,31.425,43.330000000000005,0.77
Industrial REITs,30.7,37.269999999999996,0.8200000000000001
Construction & Engineering,30.625,40.17,0.765
Homebuilding,30.154999999999998,51.7725,0.5825
Trading Companies & Distributors,30.08,60.07,0.5
Environmental & Facilities Services,29.53333333333333,30.03,0.9733333333333333
Independent Power Producers & Energy Traders,29.36,43.54,0.655
Food Retail,28.54,38.01,0.75
Health Care Facilities,28.24,47.74333333333334,0.5966666666666667
Health Care Supplies,27.0,44.53,0.665
Household Appliances,26.49,52.9,0.5
Household Products,26.285,30.1725,0.86
Air Freight & Logistics,26.1525,37.13,0.7225
Insurance Brokers,25.95,32.4525,0.8024999999999999
Managed Health Care,24.946,44.516000000000005,0.5660000000000001
Building Products,24.727142857142862,39.07,0.63
Food Distributors,24.51,49.83,0.49
Specialized REITs,23.26,37.26222222222223,0.6522222222222223
Construction Materials,22.909999999999997,45.61,0.5
Apparel Retail,21.7675,60.1375,0.4425
Broadcasting,21.104999999999997,48.09,0.44
Interactive Home Entertainment,21.03,44.919999999999995,0.4633333333333334
Agricultural Products,20.66,33.3,0.62
Industrial Machinery,20.64153846153846,42.723846153846154,0.5015384615384615
Biotechnology,20.145714285714284,42.80857142857143,0.49142857142857144
Electronic Components,18.155,40.0,0.465
Real Estate Services,17.86,46.85,0.38
Research & Consulting Services,17.7525,38.8475,0.585
Construction Machinery & Heavy Trucks,16.529999999999998,41.87,0.4333333333333333
Soft Drinks,16.356666666666666,32.07666666666667,0.5133333333333333
Pharmaceuticals,16.128888888888888,38.01777777777778,0.5022222222222222
Multi-Utilities,15.719090909090907,35.50272727272727,0.46818181818181814
Fertilizers & Agricultural Chemicals,15.560000000000002,53.376666666666665,0.3133333333333333
Cable & Satellite,15.016666666666667,42.74666666666667,0.4666666666666666
Consumer Finance,14.649999999999999,55.269999999999996,0.265
Health Care Services,14.413333333333332,38.45666666666667,0.37666666666666665
Health Care REITs,14.373333333333335,53.46,0.2833333333333333
Packaged Foods & Meats,13.5625,35.34583333333334,0.42833333333333323
"Apparel, Accessories & Luxury Goods",13.253333333333336,56.61111111111111,0.29888888888888887
Auto Parts & Equipment,13.145,52.295,0.225
Communications Equipment,13.136,40.956,0.32999999999999996
Human Resource & Employment Services,12.91,42.4,0.3
"Technology Hardware, Storage & Peripherals",12.671428571428569,49.83714285714286,0.30714285714285705
Electric Utilities,12.65076923076923,35.347692307692306,0.3753846153846154
Specialty Chemicals,12.3675,43.933749999999996,0.31000000000000005
Gas Utilities,11.36,32.07,0.35
Integrated Telecommunication Services,11.129999999999999,28.53,0.43
Aerospace & Defense,10.812,44.456,0.246
Leisure Products,10.56,48.19,0.22
Health Care Distributors,10.090000000000002,38.96333333333334,0.26166666666666666
Diversified Chemicals,9.72,43.47,0.22
Electronic Manufacturing Services,9.08,50.035,0.215
Property & Casualty Insurance,8.629999999999999,40.46625,0.26125
Paper Packaging,8.233333333333333,44.06,0.205
Residential REITs,7.211666666666666,37.84833333333333,0.19333333333333333
Health Care Technology,7.2,32.21,0.22
Regional Banks,7.050909090909091,50.028181818181814,0.13636363636363638
Steel,6.41,42.54,0.15
Investment Banking & Brokerage,6.275,45.57000000000001,0.135
IT Consulting & Other Services,5.888333333333333,44.60999999999999,0.26166666666666666
Advertising,5.315,41.735,0.10999999999999999
Reinsurance,4.58,38.58,0.12
Publishing,4.26,41.835,0.1
Asset Management & Custody Banks,2.880000000000001,46.022499999999994,0.08374999999999999
Oil & Gas Storage & Transportation,2.506666666666667,53.04,0.04666666666666667
Distributors,1.94,53.59,0.04
Multi-line Insurance,1.923333333333333,50.76666666666667,0.09000000000000001
Industrial Conglomerates,1.6899999999999995,41.1475,0.1375
Distillers & Vintners,0.38,39.78,0.01
Casinos & Gaming,-1.0899999999999999,63.943333333333335,-0.020000000000000004
Retail REITs,-2.4059999999999997,49.45,-0.036
Housewares & Specialties,-2.43,59.5,-0.04
Tobacco,-3.255,35.91,-0.095
Automobile Manufacturers,-3.715,48.595,-0.08
Diversified Banks,-3.8049999999999997,47.27166666666667,-0.07
"Hotels, Resorts & Cruise Lines",-3.9059999999999997,69.14000000000001,0.001999999999999996
Life & Health Insurance,-4.346666666666667,48.96333333333333,-0.05833333333333333
Office REITs,-4.5725,43.455,-0.05
Integrated Oil & Gas,-6.319999999999999,49.72666666666667,-0.21333333333333335
Home Furnishings,-6.64,57.215,-0.08499999999999999
Airlines,-9.248000000000001,64.974,-0.13199999999999998
Hotel & Resort REITs,-9.91,46.79,-0.21
Thrifts & Mortgage Finance,-10.49,45.24,-0.23
Oil & Gas Refining & Marketing,-13.2575,57.45,-0.235
Drug Retail,-21.34,41.15,-0.52
Oil & Gas Exploration & Production,-25.538000000000004,67.763,-0.367
Brewers,-27.12,40.99,-0.66
Oil & Gas Equipment & Services,-36.459999999999994,64.364,-0.5680000000000001
